Year,subyear,area,stock,Ino,type,index,CV,Name
2000,3,7,1,1,1,0.0093,0.385,FR_AER_SUV1
2001,3,7,1,1,1,0.0078,0.417,FR_AER_SUV1
2002,3,7,1,1,1,0.0067,0.58,FR_AER_SUV1
2003,3,7,1,1,1,0.0051,0.273,FR_AER_SUV1
2009,3,7,1,2,1,0.0177,0.351,FR_AER_SUV2
2010,3,7,1,2,1,0.01367,0.524,FR_AER_SUV2
2011,3,7,1,2,1,0.0255,0.25,FR_AER_SUV2
2012,3,7,1,2,1,0.0171,0.264,FR_AER_SUV2
2014,3,7,1,2,1,0.0608,0.273,FR_AER_SUV2
2015,3,7,1,2,1,0.0265,0.242,FR_AER_SUV2
2016,3,7,1,2,1,0.1049,0.2,FR_AER_SUV2
2017,3,7,1,2,1,0.0659,0.243,FR_AER_SUV2
2018,3,7,1,2,1,0.0296,0.172,FR_AER_SUV2
2019,3,7,1,2,1,0.0599,0.139,FR_AER_SUV2
2020,3,7,1,2,1,0.1304,0.153,FR_AER_SUV2
2001,2,7,1,3,2,4.106139398,0.417725509,MED_LAR_SUV
2002,2,7,1,3,2,9.209271376,0.487213178,MED_LAR_SUV
2003,2,7,1,3,2,2.129047908,0.540872175,MED_LAR_SUV
2004,2,7,1,3,2,10.44779695,0.418110157,MED_LAR_SUV
2005,2,7,1,3,2,1.99650577,0.399297629,MED_LAR_SUV
2008,2,7,1,3,2,2.001275842,0.786529669,MED_LAR_SUV
2011,2,7,1,3,2,9.190538097,0.399454803,MED_LAR_SUV
2012,2,7,1,3,2,24.98381665,0.217995362,MED_LAR_SUV
2013,2,7,1,3,2,39.82797763,0.302743105,MED_LAR_SUV
2014,2,7,1,3,2,18.37846391,0.295973701,MED_LAR_SUV
2015,2,7,1,3,2,34.44105632,0.245182492,MED_LAR_SUV
2016,2,7,1,3,2,30.76387852,0.276943444,MED_LAR_SUV
2017,2,7,1,3,2,67.46011007,0.250118796,MED_LAR_SUV
2019,2,7,1,3,2,44.88824368,0.231986141,MED_LAR_SUV
1994,3,3,2,4,2,0.026,0.275,CAN_ACO_SUV
1995,3,3,2,4,2,0.034,0.135,CAN_ACO_SUV
1996,3,3,2,4,2,0.067,0.098,CAN_ACO_SUV
1997,3,3,2,4,2,0.038,0.119,CAN_ACO_SUV
1998,3,3,2,4,2,0.042,0.213,CAN_ACO_SUV
1999,3,3,2,4,2,0.035,0.12,CAN_ACO_SUV
2000,3,3,2,4,2,0.019,0.138,CAN_ACO_SUV
2001,3,3,2,4,2,0.037,0.145,CAN_ACO_SUV
2002,3,3,2,4,2,0.02,0.186,CAN_ACO_SUV
2003,3,3,2,4,2,0.036,0.144,CAN_ACO_SUV
2004,3,3,2,4,2,0.038,0.071,CAN_ACO_SUV
2005,3,3,2,4,2,0.051,0.054,CAN_ACO_SUV
2006,3,3,2,4,2,0.062,0.073,CAN_ACO_SUV
2007,3,3,2,4,2,0.042,0.131,CAN_ACO_SUV
2008,3,3,2,4,2,0.034,0.076,CAN_ACO_SUV
2009,3,3,2,4,2,0.057,0.09,CAN_ACO_SUV
2010,3,3,2,4,2,0.065,0.042,CAN_ACO_SUV
2011,3,3,2,4,2,0.05,0.08,CAN_ACO_SUV
2012,3,3,2,4,2,0.1,0.065,CAN_ACO_SUV
2013,3,3,2,4,2,0.056,0.057,CAN_ACO_SUV
2014,3,3,2,4,2,0.076,0.063,CAN_ACO_SUV
2015,3,3,2,4,2,0.075,0.098,CAN_ACO_SUV
2016,3,3,2,4,2,0.088,0.01,CAN_ACO_SUV
2017,3,3,2,4,2,0.053,0.007,CAN_ACO_SUV
1977,2,1,2,5,2,2.45079,0.46475,GOM_LAR_SUV
1978,2,1,2,5,2,4.4871,0.23537,GOM_LAR_SUV
1981,2,1,2,5,2,0.79428,0.43916,GOM_LAR_SUV
1982,2,1,2,5,2,1.30215,0.28775,GOM_LAR_SUV
1983,2,1,2,5,2,1.08157,0.34466,GOM_LAR_SUV
1984,2,1,2,5,2,0.36866,0.53517,GOM_LAR_SUV
1986,2,1,2,5,2,0.37187,0.42536,GOM_LAR_SUV
1987,2,1,2,5,2,0.31316,0.47622,GOM_LAR_SUV
1988,2,1,2,5,2,1.13839,0.32281,GOM_LAR_SUV
1989,2,1,2,5,2,0.74601,0.36684,GOM_LAR_SUV
1990,2,1,2,5,2,0.32281,0.33958,GOM_LAR_SUV
1991,2,1,2,5,2,0.36819,0.56566,GOM_LAR_SUV
1992,2,1,2,5,2,0.44793,0.34913,GOM_LAR_SUV
1993,2,1,2,5,2,0.44661,0.65397,GOM_LAR_SUV
1994,2,1,2,5,2,0.57715,0.33423,GOM_LAR_SUV
1995,2,1,2,5,2,0.26471,0.54661,GOM_LAR_SUV
1996,2,1,2,5,2,0.8021,0.48971,GOM_LAR_SUV
1997,2,1,2,5,2,0.33258,0.38272,GOM_LAR_SUV
1998,2,1,2,5,2,0.11562,0.53216,GOM_LAR_SUV
1999,2,1,2,5,2,0.461,0.48775,GOM_LAR_SUV
2000,2,1,2,5,2,0.27332,0.52462,GOM_LAR_SUV
2001,2,1,2,5,2,0.40878,0.31815,GOM_LAR_SUV
2002,2,1,2,5,2,0.24266,0.63172,GOM_LAR_SUV
2003,2,1,2,5,2,0.71637,0.3823,GOM_LAR_SUV
2004,2,1,2,5,2,0.49931,0.66798,GOM_LAR_SUV
2005,2,1,2,5,2,0.18403,0.29313,GOM_LAR_SUV
2006,2,1,2,5,2,0.54464,0.36031,GOM_LAR_SUV
2007,2,1,2,5,2,0.43838,0.3713,GOM_LAR_SUV
2008,2,1,2,5,2,0.34053,0.3813,GOM_LAR_SUV
2009,2,1,2,5,2,0.57251,0.31778,GOM_LAR_SUV
2010,2,1,2,5,2,0.3142,0.5184,GOM_LAR_SUV
2011,2,1,2,5,2,1.03555,0.39178,GOM_LAR_SUV
2012,2,1,2,5,2,0.28877,0.47528,GOM_LAR_SUV
2013,2,1,2,5,2,1.05422,0.35119,GOM_LAR_SUV
2014,2,1,2,5,2,0.2618,0.36671,GOM_LAR_SUV
2015,2,1,2,5,2,0.38438,0.30037,GOM_LAR_SUV
2016,2,1,2,5,2,2.35389,0.26223,GOM_LAR_SUV
2017,2,1,2,5,2,0.99308,0.28759,GOM_LAR_SUV
2018,2,1,2,5,2,2.07339,0.23821,GOM_LAR_SUV
2019,2,1,2,5,2,1.59117,0.28741,GOM_LAR_SUV
2010,2,7,1,6,2,3587,0.565,GBYP_AER_SUV_BAR
2011,2,7,1,6,2,4371,0.462,GBYP_AER_SUV_BAR
2013,2,7,1,6,2,3539,0.406,GBYP_AER_SUV_BAR
2015,2,7,1,6,2,4712,0.42,GBYP_AER_SUV_BAR
2017,2,7,1,6,2,12693,0.409,GBYP_AER_SUV_BAR
2018,2,7,1,6,2,37861,0.403,GBYP_AER_SUV_BAR
