Year,No,Name,subyear,area,stock,Ino,type,index,CV
1977,1,GOM_Larval,2,1,2,5,2,2.45079,0.46475
1978,1,GOM_Larval,2,1,2,5,2,4.4871,0.23537
1981,1,GOM_Larval,2,1,2,5,2,0.79428,0.43916
1982,1,GOM_Larval,2,1,2,5,2,1.30215,0.28775
1983,1,GOM_Larval,2,1,2,5,2,1.08157,0.34466
1984,1,GOM_Larval,2,1,2,5,2,0.36866,0.53517
1986,1,GOM_Larval,2,1,2,5,2,0.37187,0.42536
1987,1,GOM_Larval,2,1,2,5,2,0.31316,0.47622
1988,1,GOM_Larval,2,1,2,5,2,1.13839,0.32281
1989,1,GOM_Larval,2,1,2,5,2,0.74601,0.36684
1990,1,GOM_Larval,2,1,2,5,2,0.32281,0.33958
1991,1,GOM_Larval,2,1,2,5,2,0.36819,0.56566
1992,1,GOM_Larval,2,1,2,5,2,0.44793,0.34913
1993,1,GOM_Larval,2,1,2,5,2,0.44661,0.65397
1994,1,GOM_Larval,2,1,2,5,2,0.57715,0.33423
1995,1,GOM_Larval,2,1,2,5,2,0.26471,0.54661
1996,1,GOM_Larval,2,1,2,5,2,0.8021,0.48971
1997,1,GOM_Larval,2,1,2,5,2,0.33258,0.38272
1998,1,GOM_Larval,2,1,2,5,2,0.11562,0.53216
1999,1,GOM_Larval,2,1,2,5,2,0.461,0.48775
2000,1,GOM_Larval,2,1,2,5,2,0.27332,0.52462
2001,1,GOM_Larval,2,1,2,5,2,0.40878,0.31815
2002,1,GOM_Larval,2,1,2,5,2,0.24266,0.63172
2003,1,GOM_Larval,2,1,2,5,2,0.71637,0.3823
2004,1,GOM_Larval,2,1,2,5,2,0.49931,0.66798
2005,1,GOM_Larval,2,1,2,5,2,0.18403,0.29313
2006,1,GOM_Larval,2,1,2,5,2,0.54464,0.36031
2007,1,GOM_Larval,2,1,2,5,2,0.43838,0.3713
2008,1,GOM_Larval,2,1,2,5,2,0.34053,0.3813
2009,1,GOM_Larval,2,1,2,5,2,0.57251,0.31778
2010,1,GOM_Larval,2,1,2,5,2,0.3142,0.5184
2011,1,GOM_Larval,2,1,2,5,2,1.03555,0.39178
2012,1,GOM_Larval,2,1,2,5,2,0.28877,0.47528
2013,1,GOM_Larval,2,1,2,5,2,1.05422,0.35119
2014,1,GOM_Larval,2,1,2,5,2,0.2618,0.36671
2015,1,GOM_Larval,2,1,2,5,2,0.38438,0.30037
2016,1,GOM_Larval,2,1,2,5,2,2.35389,0.26223
2017,1,GOM_Larval,2,1,2,5,2,0.99308,0.28759
2018,1,GOM_Larval,2,1,2,5,2,2.07339,0.23821
2019,1,GOM_Larval,2,1,2,5,2,1.59117,0.28741
2009,,FR_AER_SUV2,3,7,1,2,1,0.0177,0.351
2010,,FR_AER_SUV2,3,7,1,2,1,0.01367,0.524
2011,,FR_AER_SUV2,3,7,1,2,1,0.0255,0.25
2012,,FR_AER_SUV2,3,7,1,2,1,0.0171,0.264
2014,,FR_AER_SUV2,3,7,1,2,1,0.0608,0.273
2015,,FR_AER_SUV2,3,7,1,2,1,0.0265,0.242
2016,,FR_AER_SUV2,3,7,1,2,1,0.1049,0.2
2017,,FR_AER_SUV2,3,7,1,2,1,0.0659,0.243
2018,,FR_AER_SUV2,3,7,1,2,1,0.0296,0.172
2019,,FR_AER_SUV2,3,7,1,2,1,0.0599,0.139
2020,,FR_AER_SUV2,3,7,1,2,1,0.1304,0.153
2001,,MED_LAR_SUV,2,7,1,3,2,4.106139398,0.417725509
2002,,MED_LAR_SUV,2,7,1,3,2,9.209271376,0.487213178
2003,,MED_LAR_SUV,2,7,1,3,2,2.129047908,0.540872175
2004,,MED_LAR_SUV,2,7,1,3,2,10.44779695,0.418110157
2005,,MED_LAR_SUV,2,7,1,3,2,1.99650577,0.399297629
2008,,MED_LAR_SUV,2,7,1,3,2,2.001275842,0.786529669
2011,,MED_LAR_SUV,2,7,1,3,2,9.190538097,0.399454803
2012,,MED_LAR_SUV,2,7,1,3,2,24.98381665,0.217995362
2013,,MED_LAR_SUV,2,7,1,3,2,39.82797763,0.302743105
2014,,MED_LAR_SUV,2,7,1,3,2,18.37846391,0.295973701
2015,,MED_LAR_SUV,2,7,1,3,2,34.44105632,0.245182492
2016,,MED_LAR_SUV,2,7,1,3,2,30.76387852,0.276943444
2017,,MED_LAR_SUV,2,7,1,3,2,67.46011007,0.250118796
2019,,MED_LAR_SUV,2,7,1,3,2,44.88824368,0.231986141
2010,,GBYP_AER_SUV_BAR,2,7,1,6,2,3587,0.565
2011,,GBYP_AER_SUV_BAR,2,7,1,6,2,4371,0.462
2013,,GBYP_AER_SUV_BAR,2,7,1,6,2,3539,0.406
2015,,GBYP_AER_SUV_BAR,2,7,1,6,2,4712,0.42
2017,,GBYP_AER_SUV_BAR,2,7,1,6,2,12693,0.409
2018,,GBYP_AER_SUV_BAR,2,7,1,6,2,37861,0.403
2017,,CAN_ACO_SUV2,3,3,2,7,2,0.007,0.013
2018,,CAN_ACO_SUV2,3,3,2,7,2,0.015,0.01
